DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
"Cow shark 1",117484,0.500000,Mk10,06:00:00 17-Jun-2013,GPE,-35.50000000,18.58736038,1.500000,0.250000,Archive,10.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 17-Jun-2013,GPE,-35.50000000,18.58736038,0.000000,0.250000,Archive,9.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 17-Jun-2013,GPE,-35.50000000,18.58736038,0.000000,0.250000,Archive,3.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 18-Jun-2013,GPE,-35.50000000,18.58736038,0.000000,0.250000,Archive,7.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 18-Jun-2013,GPE,-35.50000000,18.58736038,0.000000,0.250000,Archive,10.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 18-Jun-2013,GPE,-35.50000000,18.58736038,0.000000,0.250000,Archive,11.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 18-Jun-2013,GPE,-35.50000000,18.58736038,0.000000,0.250000,Archive,11.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 19-Jun-2013,GPE,-35.50000000,18.58736038,0.000000,0.250000,Archive,8.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 19-Jun-2013,GPE,-34.50000000,18.59746933,0.000000,0.250000,Archive,11.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 19-Jun-2013,GPE,-34.50000000,18.59746933,0.000000,0.250000,Archive,11.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 19-Jun-2013,GPE,-34.50000000,18.59746933,0.000000,0.250000,Archive,5.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 20-Jun-2013,GPE,-34.50000000,18.59746933,0.000000,0.250000,Archive,7.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 20-Jun-2013,GPE,-34.50000000,18.59746933,0.000000,0.250000,Archive,9.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 20-Jun-2013,GPE,-34.50000000,18.59746933,0.000000,0.250000,Archive,8.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 20-Jun-2013,GPE,-36.50000000,17.89137077,0.000000,0.250000,Archive,6.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 21-Jun-2013,GPE,-36.50000000,17.89137077,0.000000,0.250000,Archive,7.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 21-Jun-2013,GPE,-36.50000000,17.89137077,0.000000,0.250000,Archive,10.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 21-Jun-2013,GPE,-36.50000000,17.89137077,0.000000,0.250000,Archive,9.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 21-Jun-2013,GPE,-34.00000000,17.50823021,0.000000,0.250000,Archive,5.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 22-Jun-2013,GPE,-34.00000000,17.50823021,0.000000,0.250000,Archive,8.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 22-Jun-2013,GPE,-34.00000000,17.50823021,0.000000,0.250000,Archive,39.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 22-Jun-2013,GPE,-34.50000000,17.88861084,16.000000,0.250000,Archive,40.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 22-Jun-2013,GPE,-35.50000000,18.12659073,18.000000,0.250000,Archive,38.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 23-Jun-2013,GPE,-35.50000000,18.12659073,30.500000,0.250000,Archive,39.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 23-Jun-2013,GPE,-35.50000000,18.12659073,37.000000,0.250000,Archive,40.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 23-Jun-2013,GPE,-34.00000000,17.56233978,31.500000,0.250000,Archive,40.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 23-Jun-2013,GPE,-32.50000000,17.12051964,24.500000,0.250000,Archive,39.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 24-Jun-2013,GPE,-32.50000000,17.12051964,6.500000,0.250000,Archive,42.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 24-Jun-2013,GPE,-35.00000000,17.99430084,0.000000,0.250000,Archive,8.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 24-Jun-2013,GPE,-35.00000000,17.99430084,0.000000,0.250000,Archive,7.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 24-Jun-2013,GPE,-35.00000000,18.15175056,0.000000,0.250000,Archive,7.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 25-Jun-2013,GPE,-35.00000000,18.15175056,0.000000,0.250000,Archive,6.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 25-Jun-2013,GPE,-35.00000000,18.15175056,0.000000,0.250000,Archive,10.500000,0.250000,Archive
