DeployID,Ptt,DepthSensor,Source,Instr,Date,Hours,LocationQuality,Latitude,Longitude,PerCentMLTime,MLTave,MLTmin,MLTmax,MLDExtreme,SSTAve,SSTmin,SSTmax,TempMin,DepthMin,DepthMax
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 13-Jul-2013,6,GPE,-34.50000000,18.67873001,7.000000,14.282001,13.875001,14.475000,28.250000,,,,12.68,14.75,37.75
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 13-Jul-2013,6,GPE,-34.00000000,18.34675026,28.000000,14.305341,13.725000,14.475000,28.750000,,,,12.58,14.75,37.25
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 14-Jul-2013,6,GPE,-34.00000000,18.34675026,8.000000,14.027587,13.725000,14.325001,29.750000,,,,12.38,16.25,40.75
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 14-Jul-2013,6,GPE,-34.50000000,18.14155006,100.000000,13.513751,13.075001,13.875001,38.750000,,,,12.98,28.25,38.75
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 14-Jul-2013,6,GPE,-34.50000000,18.14155006,100.000000,13.914029,13.825001,14.325001,38.750000,,,,13.83,15.75,38.75
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 14-Jul-2013,6,GPE,-34.50000000,18.15354919,100.000000,14.181945,13.925001,14.325001,39.750000,,,,13.93,11.25,39.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 15-Jul-2013,6,GPE,-34.50000000,18.15354919,100.000000,14.301945,14.025001,14.425001,43.250000,,,,14.03,14.75,43.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 15-Jul-2013,6,GPE,-36.50000000,17.92394066,100.000000,14.350001,14.325001,14.375001,39.750000,,,,14.33,35.75,39.75
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 15-Jul-2013,6,GPE,-36.50000000,17.92394066,100.000000,14.328195,14.175001,14.475000,37.750000,,,,14.18,20.25,37.75
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 15-Jul-2013,6,GPE,-36.00000000,17.98945999,100.000000,13.942640,13.575001,14.375001,41.250000,,,,13.58,17.75,41.25
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 16-Jul-2013,6,GPE,-36.00000000,17.98945999,95.000000,14.156269,13.475000,14.375001,40.250000,,,,12.68,17.25,40.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 16-Jul-2013,6,GPE,-33.50000000,18.80648994,51.000000,14.056217,13.375001,14.225000,38.750000,,,,11.23,35.25,38.75
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 16-Jul-2013,6,GPE,-33.50000000,18.80648994,5.000000,13.847501,13.375001,14.175001,32.250000,,,,11.13,20.25,39.75
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 16-Jul-2013,6,GPE,-33.00000000,18.63195992,36.000000,13.687880,13.375001,14.225000,37.250000,,,,11.93,22.25,39.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 17-Jul-2013,6,GPE,-33.00000000,18.63195992,73.000000,14.107008,13.375001,14.725000,38.250000,,,,10.93,12.75,39.75
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 17-Jul-2013,6,GPE,-31.50000000,19.03845978,98.000000,14.320057,13.725000,14.525001,38.750000,,,,13.18,10.25,39.25
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 17-Jul-2013,6,GPE,-31.50000000,19.03845978,6.000000,14.088637,13.875001,14.275001,31.250000,,,,10.88,25.75,41.25
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 17-Jul-2013,6,GPE,-31.50000000,19.28405952,7.000000,14.056001,13.875001,14.175001,28.750000,,,,10.93,21.25,40.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 18-Jul-2013,6,GPE,-31.50000000,19.28405952,26.000000,14.072106,13.875001,14.275001,28.250000,,,,11.13,15.75,37.75
